Title,Rent,Address,URL
$2800-3/2 Pembroke Pines House-Stunning New White Kitchen-All NEW-Pets,$2800,"",https://miami.craigslist.org/brw/apa/d/hollywood-pembroke-pines-house-stunning/6935816787.html
▄▀ 3Bedrooms COCONUT CREEK: TOP RATED RENTAL,$2170,"",https://miami.craigslist.org/brw/apa/d/pompano-beach-3bedrooms-coconut-creek/6943070852.html
$2700-3/2Aventura Yacht Club-All White Kitchen-Remodeled-RAPID MOVE OK,$2700,"",https://miami.craigslist.org/mdc/apa/d/miami-aventura-yacht-club-all-white/6937366724.html
▄▀ COCONUT CREEK: UNLISTED UNIT 3bed/2bath,$1795,"",https://miami.craigslist.org/brw/apa/d/pompano-beach-coconut-creek-unlisted/6943073203.html
$2000-3/2 Downtown Hollywood House-Remodeled-Walk 2 Everything-Pets,$2000,"",https://miami.craigslist.org/brw/apa/d/hollywood-downtown-hollywood-house/6937365178.html
LOVELY HOME IN CENTRAL HOLLYWOOD. 3 BEDROOM 1 BATH WITH LARGE BACKYARD,$1900,"",https://miami.craigslist.org/brw/apa/d/hollywood-lovely-home-in-central/6947736235.html
$2600-3/2 SW Ft Lauderdale Pool Home-Covered Deck-Privacy Fence,$2600,"",https://miami.craigslist.org/brw/apa/d/fort-lauderdale-sw-ft-lauderdale-pool/6935820914.html
$4000-2/2+DENSunny Isles Beach-Oceanfront-OceanView-Luxury Bldg-Pet OK,$4000,"",https://miami.craigslist.org/mdc/apa/d/densunny-isles-beach-oceanfront/6932172841.html
$2000-3/2 West Hollywood House-Clean and Affordable-W/D-Garage-Fenced,$2000,"",https://miami.craigslist.org/brw/apa/d/hollywood-west-hollywood-house-clean/6937360974.html
$2450-3/2 Hollywood House-Total Renovation-Screened Patio-Large Yard++,$2450,"",https://miami.craigslist.org/brw/apa/d/hollywood-hollywood-house-total/6935817193.html
$3600-4/2 Highland Lakes Pool Home-2500+ SqFt-Fenced-Pet OK!Corner Lot,$3600,"",https://miami.craigslist.org/mdc/apa/d/miami-highland-lakes-pool-home-2500/6937365664.html
$2250-3/2 Pembroke Pines Townhouse-Stunning Lake Views & Remodel-PetOk,$2250,"",https://miami.craigslist.org/brw/apa/d/hollywood-pembroke-pines-townhouse/6942625481.html
